parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
12657113,,,,3.0,2.0,,7,3.0,,,1309.0,1309,,,,,06037,,3,,,,7,33713884,-118298505,5607.0,1,,,,1,0101,261,LAR1,060372975.002000,12447,3101,54300,96221,0.0,,,,1,,,1953.0,,,169317.0,643104.0,2016,473787.0,7797.19,,,60372975002000
12657282,,,,1.0,3.0,,6,1.0,,,1705.0,1705,,,,,06037,,1,,,,7,33711567,-118299000,7351.0,,,,,,0100,261,LAR1,060372975.001026,12447,3101,54300,96221,0.0,,,,1,,,1931.0,,,123904.0,385900.0,2016,261996.0,4680.72,,,60372975001026
12657328,,,,1.0,3.0,,4,1.0,,,1038.0,1038,,,,,06037,,1,,,,7,33721299,-118307976,5979.0,,,,,,0100,261,LAR1,060372975.005001,12447,3101,54300,96222,0.0,,,,1,,,1944.0,,,143239.0,461550.0,2016,318311.0,5594.77,,,60372975005001
12657428,,,,1.0,2.0,,4,1.0,,,812.0,812,,,,,06037,,1,,,,7,33720251,-118302584,5504.0,,,,,,0100,261,LAR1,060372975.005008,12447,3101,54300,96221,0.0,,,,1,,,1945.0,,,44505.0,222545.0,2016,178040.0,2679.14,,,60372975005008
12657597,,,,2.0,3.0,,4,2.0,,,1591.0,1591,,,,,06037,,2,,,,7,33719258,-118307200,5500.0,,,,,,0100,261,LAR1,060372975.005005,12447,3101,54300,96221,0.0,,,,1,,,1946.0,,,126906.0,634531.0,2016,507625.0,7622.42,,,60372975005005
12658986,,,,2.0,5.0,,6,2.0,,,1371.0,1371,,,,,06037,,2,,,,7,33340146,-118326476,1515.0,,,,,,0100,261,AVR3*,060375990.003006,3491,3101,,96207,0.0,,,,1,,,1926.0,,,37459.0,86310.0,2016,48851.0,2499.25,Y,15,60375990003006
12659814,,,,3.0,4.0,,7,3.0,,,2188.0,2188,,,,,06037,,3,,,,2,33852691,-118384281,5756.0,,,,,,010C,266,RBR-3,060376212.011007,33612,3101,,96123,0.0,,,,1,,,1993.0,,,323722.0,765007.0,2016,441285.0,9210.5,,,60376212011007
12659944,,,,9.0,9.0,,6,9.0,,,4632.0,,,4632,,,06037,,9,,,,,33854526,-118380873,5247.0,,,,,,0400,248,RBRMD,060376212.011002,33612,3101,,96123,0.0,,,,4,,,1963.0,,,545203.0,1172186.0,2016,626983.0,14223.03,,,60376212011002
12660151,,,,2.0,3.0,,8,2.0,,,2320.0,2320,,,,,06037,,2,,,,2,33852518,-118379452,4341.0,,,,,,0100,261,RBR-1,060376212.011005,33612,3101,,96123,0.0,,,,1,,,1965.0,,,133116.0,665586.0,2016,532470.0,8169.81,,,60376212011005
12660427,,,,2.0,3.0,,6,2.0,,,1361.0,1361,,,,,06037,,2,,,,2,33850103,-118378474,5922.0,1,,,,1,0104,261,RBR-1,060376212.012002,33612,3101,,96123,0.0,,,,1,,,1959.0,,,152292.0,761470.0,2016,609178.0,9136.07,,,60376212012002
